Operating Temperature (°F),Ramp time (minutes),Empty or loaded for TUS,Tipo de Horno,Posicion del termopar de control con respecto a la carga u horno,Posicion del termopar de control con respecto al bafle,Tipo de aislamiento del carro o piso,Numero de zonas,Ubicacion de las zonas,Dimensiones internas  del horno. L= largo o profundo (Pulgadas),Dimensiones internas  del horno. W=Ancho (Pulgadas),Dimensiones internas  del horno. H=alto,Dimensiones Setting de carga. L= largo o profundo,Dimensiones Setting de carga. W=Ancho,Dimensiones Setting de carga. H=alto,Distancia del volumen de carga a Techo,Distancia de valumen de carga a paredes,Distancia de volumen de carga a piso (pulgadas),Cantidad de extracciones,Longitud de la flama del quemador,Cantidad de Quemadores,Tipo de  Controlador,Resolución de tarjeta de entrada de Termopares (bits),"Algoritmo de lectura de temperatura (Directo, promedio, ponderado, etc)","Tipo de calentamiento [Entrada Escalon, Rampa o Receta]",Trick. Low cut back tipo NB,Apagado de quemadores,"Tipo de Termopar de control  (con probeta, desnudo, tipo de funda; ceramica o metalica)","Tipo de control de presion [lazo abierto, lazo cerrado, damper lazo abierto]",Cambios de aire,Volumen del recirculador (CADA uno (SCFH) o SCFM,Que pueda arrancar el recirculador al 100% desde Frio,"Tipo de Recirculador (centrifugo, axial, con Scroll), tipo de scroll y tipo de aspas",Cantidad de recirculadores por zona,Velocidad de aire Real en Rejillas (m/s),"Patrón de flujo del aire (Horizontal, vertica down directo, vertcical down con bafle, vertical up, directo o vertical up con bafle)",Baffle para ajustar el retorno,Venas ladronas de aire para rejillas,Venas direccionadoras,Posicion de quemador,Con Rompe flamas,Tipo de tubo a la salida del quemador,Posicion de la toma del  Extractor,Regulador cross connected,Uso de Piers,Cantidad de extacciones de gases,Posicion de las extracciones de gases,Modo de control
2100,375,Empty,Fuego directo,"Pared Lateral, parte baja de la carga",NA,Refractario duro,4,Izquierda y derecha,196,145,106,181,125,80,26,10,0,4,36,8,HC900,15,Directo,Rampa ,NA,No,"Inconel 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Si,No,4,Atras abajo,Pulso electronico
1000,46.5,Loaded,Recirculacion,Pared lateral,Por dentro del bafle,Fibra,1,NA,171,62,62,132,48,31,13,7,18,0,28,6,Compact Logix,16,Directo,Escalon,NA,Si,"Inconel 3/4"" (tipo Bickley)",NA,73.61,14000,Si,Centrifugo,2,14,Vertical,Si,Si,Si,NA,Si,NA,NA,Si,NA,0,NA,Proporcional
1050,264,Empty with heat sinks,Fuego directo,Pared lateral,NA,Refractario duro,3,Verticales a lo largo,353,129,120,338,108,90,18,10.5,12,2,28,15,HC900,15,Promedio,Receta,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,No,No,No,NA,NA,NA,NA,NA,Si,0,Doble extraccion techo,Pulso electronico
1250,394,Empty with heat sinks,Fuego directo,Pared lateral,NA,Refractario duro,3,Verticales a lo largo,353,129,120,338,108,90,18,10.5,12,2,28,15,HC900,15,Promedio,Receta,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,No,No,No,NA,NA,NA,NA,NA,Si,0,Doble extraccion techo,Pulso electronico
1550,694,Empty with heat sinks,Fuego directo,Pared lateral,NA,Refractario duro,3,Verticales a lo largo,353,129,120,338,108,90,18,10.5,12,2,28,15,HC900,15,Promedio,Receta,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,No,No,No,NA,NA,NA,NA,NA,Si,0,Doble extraccion techo,Pulso electronico
1750,754,Empty with heat sinks,Fuego directo,Pared lateral,NA,Refractario duro,3,Verticales a lo largo,353,129,120,338,108,90,18,10.5,12,2,28,15,HC900,15,Promedio,Receta,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,No,No,No,NA,NA,NA,NA,NA,Si,0,Doble extraccion techo,Pulso electronico
500,115,Empty heat up load test,Recirculacion,Pared lateral,NA,NA,2,NA,324,160,110,300,144,96,14,8,0,1,28,2,Siemens 1500,14,Directo,Escalon,No,Si,Funda inconel,Damper lazo abierto,43.64,144000,No,Plug fan con scroll hechizo,1,14,Vertical,No,No,No,Antes,No,NA,Trasera superior,NA,NA,0,Atras arriba,Proporcional
750,181,Empty heat up load test,Recirculacion,Pared lateral,NA,NA,2,NA,324,160,110,300,144,96,14,8,0,1,28,2,Siemens 1500,14,Directo,Escalon,No,Si,Funda inconel,Damper lazo abierto,43.64,144000,No,Plug fan con scroll hechizo,1,14,Vertical,No,No,No,Antes,No,NA,Trasera superior,NA,NA,0,Atras arriba,Proporcional
900,202,Empty heat up load test,Recirculacion,Pared lateral,NA,NA,2,NA,324,160,110,300,144,96,14,8,0,1,28,2,Siemens 1500,14,Directo,Escalon,No,Si,Funda inconel,Damper lazo abierto,43.64,144000,No,Plug fan con scroll hechizo,1,14,Vertical,No,No,No,Antes,No,NA,Trasera superior,NA,NA,0,Atras arriba,Proporcional
170,9.4,Loaded,Recirculacion,Pared lateral,Por dentro del bafle,Refractario duro,1,NA,196,64,92,180,56,78,5,4,9,1,54,1,Compact Logix,16,Directo,Escalon,No,No,"SS 316 de 1/4""",Lazo abierto,NA,40000,No,Centrifugo,1,10,Horizontal,Si,No,No,Antes,Si,Salida plana,Sin extractor,Si,No,1,Atras arriba,Fuel only
200,61.66,Loaded,Recirculacion,NA,NA,Fibra,3,Verticales a lo largo,202,95,70,180,86,57,4,4.5,9,1,28,3,Compact Logix,16,Directo,Conjunto de escalones,NA,NA,"SS 3/4"" (tipo Bickley)",Lazo abierto,140.86,36500,No,Centrifugo,1,14,Vertical directo hacia arriba,No,No,No,Antes,No,Salida a 45°,Sin extractor,NA,NA,0,NA,NA
1750,8,Empty with heat sinks,Fuego directo,"Pared Lateral, parte media de la carga",NA,Refractario duro,1,NA,121,80,77,60,60,16,53,10,8,1,22,6,Micro 800,14,Promedio,Rampa,No,No,"Alumina 1/2"" (tipo Bickley)",Lazo cerrado,NA,0,NA,Centrifugo,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Si,No,1,Atras abajo,Proporcional
2200,8,Empty with heat sinks,Fuego directo,"Pared Lateral, parte media de la carga",NA,Refractario duro,1,NA,121,80,77,60,60,16,53,10,8,1,22,6,Micro 800,14,Promedio,Rampa ,No,No,"Alumina 1/2"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Si,No,1,Atras abajo,Proporcional
1400,97.58,Empty with heat sinks,Fuego directo,"Pared Lateral, parte media de la carga",NA,Refractario duro,1,NA,121,80,77,60,60,16,53,10,8,1,22,6,Micro 800,14,Directo,Escalon,No,No,"Alumina 1/2"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Si,No,0,Atras abajo,Pulso electronico
2200,97.58,Empty with heat sinks,Fuego directo,"Pared Lateral, parte media de la carga",NA,Refractario duro,1,NA,121,80,77,60,60,16,53,10,8,1,22,6,Micro 800,14,Directo,Escalon,No,No,"Alumina 1/2"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Si,No,0,Atras abajo,Pulso electronico
644,360,Loaded,Recirculacion,"Pared Lateral, parte alta de la carga",En la zona de carga,Fibra,1,NA,196,198,67,185,185,48,5,6.5,14,1,32,1,HC900,15,Directo,Rampa ,No,No,"SS 316 de 1/4""",Lazo abierto,26.58,40000,Si,Centrifugo,1,0,Horizontal,Si,No,Si,Antes,Si,NA,"Con extractor, arriba cargada a la derecha",NA,Si,1,Atras abajo,NA
870,34,Empty,Recirculacion,NA,NA,NA,1,NA,192,117,158,138,86,89,36,15.5,33,1,18,4,HC900,15,Directo,Conjunto de escalones,NA,NA,"Inconel 3/4"" (tipo Bickley)",Lazo abierto,31.16,80000,No,Plug fan con scroll casero,4,14,Vertical,No,No,No,NA,No,NA,NA,NA,NA,0,NA,NA
1050,126,Empty,Recirculacion,NA,NA,NA,1,NA,192,117,158,138,86,89,36,15.5,33,1,18,4,HC900,15,Directo,Conjunto de escalones,NA,NA,"Inconel 3/4"" (tipo Bickley)",Lazo abierto,31.16,80000,No,Plug fan con scroll casero,4,14,Vertical,No,No,No,NA,No,NA,NA,NA,NA,0,NA,NA
1742,19.67,Empty,Fuego directo,NA,NA,Refractario duro,2,Izquierda y derecha,161,106,67,149,94,47,20,6,0,1,30,4,HC900,15,Promedio,Escalon,No,No,"SS 316 de 1/4""",Lazo abierto,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,No,NA,Sin extractor,Si,NA,0,NA,Pulso electronico
950,300,Empty,Fuego directo,"Pared Lateral, parte media de la carga",En la zona de carga,Refractario duro,2,Izquierda y derecha,154,90,69,130,66,50,7,12,12,2,28,2,HC900,15,Directo,Receta,No,No,"SS 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Si,No,2,Lateral,Proporcional
1050,350,Empty,Fuego directo,"Pared Lateral, parte media de la carga",En la zona de carga,Refractario duro,2,Izquierda y derecha,154,90,69,130,66,50,7,12,12,2,28,2,HC900,15,Directo,Receta,No,No,"SS 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Si,No,2,Lateral,Proporcional
1250,375,Empty,Fuego directo,"Pared Lateral, parte media de la carga",En la zona de carga,Refractario duro,2,Izquierda y derecha,154,90,69,130,66,50,7,12,12,2,28,2,HC900,15,Directo,Receta,No,No,"SS 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Si,No,2,Lateral,Proporcional
900,58,Empty,Fuego directo,"Pared Lateral, parte media de la carga",En la zona de carga,Refractario duro,2,Izquierda y derecha,136,152,82,108,108,56,26,22,0,2,27,8,EuroTherm 3504,16,Directo,Escalon,No,NA,"S de Funda cerámica,  Tipo Bickley",Lazo cerrado damper paletas,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,Atras abajo,Pulso electronico
1000,220,Empty,Fuego directo,"Pared Lateral, parte media de la carga",En la zona de carga,Refractario duro,2,Izquierda y derecha,136,152,82,108,108,56,26,22,0,2,27,8,EuroTherm 3504,16,Directo,Escalon,No,NA,"S de Funda cerámica,  Tipo Bickley",Lazo cerrado damper paletas,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,Atras abajo,Pulso electronico
1200,358,Empty,Fuego directo,"Pared Lateral, parte media de la carga",En la zona de carga,Refractario duro,2,Izquierda y derecha,136,152,82,108,108,56,26,22,0,2,27,8,EuroTherm 3504,16,Directo,Escalon,No,NA,"S de Funda cerámica,  Tipo Bickley",Lazo cerrado damper paletas,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,Atras abajo,Pulso electronico
977,52,Loaded,Recirculacion,NA,NA,Fibra,1,NA,177.5,92,143,150,80,75,7,12,22,1,45,2,HC900,15,Directo,Escalon,No,No,"SS 316 de 1/4""",Lazo abierto,53.72,110000,Si,Axial,1,0,Vertical directo hacia arriba,No,Si,Si,Antes,No,Salida plana,"Sin extractor, salida lateral superior al fondo.",NA,NA,0,NA,NA
428,52,Loaded,Recirculacion,NA,NA,Fibra,1,NA,177.5,92,143,150,80,75,7,12,22,1,45,2,HC900,15,Directo,Escalon,No,No,"SS 316 de 1/4""",Lazo abierto,53.72,110000,Si,Axial,1,0,Vertical directo hacia arriba,No,Si,Si,Antes,No,Salida plana,"Sin extractor, salida lateral superior al fondo.",NA,NA,0,NA,NA
900,160,Empty,Fuego directo,NA,NA,Refractario duro,4,NA,174,180,113,144,144,72,23,18,18,2,26,9,HC900,15,Directo,Receta,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Si,Si,2,Abajo paredes laterales,Pulso electronico
1350,120,Empty,Fuego directo,NA,NA,Refractario duro,4,NA,174,180,113,144,144,72,23,18,18,2,26,9,HC900,15,Directo,Receta,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Si,Si,2,Abajo paredes laterales,Pulso electronico
1650,28.5,Empty,Fuego directo,NA,NA,Refractario duro,4,NA,174,180,113,144,144,72,23,18,18,2,26,9,HC900,15,Directo,Receta,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Si,Si,2,Abajo paredes laterales,Pulso electronico
2000,63,Empty,Fuego directo,NA,NA,Refractario duro,4,NA,174,180,113,144,144,72,23,18,18,2,26,9,HC900,15,Directo,Receta,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Si,Si,2,Abajo paredes laterales,Pulso electronico
600,180,Loaded,Recirculacion,"Pared Lateral, parte baja de la carga",Por dentro del bafle,Fibra,1,NA,114,88,93,80,86,82,37,13.5,9,1,32,1,Compact Logix,15,Directo,Escalon,No,No,"SS 316 de 1/4""",Lazo abierto,2.15,2010000,NA,Plug fan con scroll casero,1,0,Vertical directo hacia arriba,No,No,Si,Antes,No,Salida plana,Sin extractor,No,No,1,Atras arriba,Fuel only
320,29,Loaded,Recirculacion,"Pared Trasera, parte alta de la carga",En la zona de carga,Fibra,1,NA,79,74,125,110,60,59,6,7.5,11,1,26,1,EuroTherm 3504,16,Directo,Escalon,No,NA,"SS 316 de 1/4""",Lazo abierto,66.21,28000,Si,Plug fan con scroll casero,1,0,Horizontal,No,Si,No,Antes,No,NA,Trasera superior,NA,NA,0,NA,Fuel only
200,55.5,Loaded,Recirculacion,"Pared Lateral, parte media de la carga",En la zona de carga,NA,1,NA,186,108,112,177,90,98,7,12,12,1,48,1,Compact Logix,14,Directo,Escalon,Si,No,"SS 316 de 1/4""",Lazo abierto,51.46,67000,No,Centrifugo,1,9,Horizontal,No,Si,Si,Antes,No  ,Salida plana,"Sin extractor, salida lateral superior al fondo.",No,NA,1,NA,Proporcional
200,79.15,Empty,Recirculacion,Pared lateral,En la zona de carga,NA,1,NA,174,92,104,150,80,75,7,6,22,1,24,1,Micro 800,14,Directo,Escalon,Si,No,"SS 316 de 1/4""",Lazo abierto,69.54,67000,No,Centrifugo,1,8.5,Horizontal,No,Si,Si,Antes,No  ,Salida plana,Sin extractor,No,NA,1,NA,Proporcional
525,79.15,Empty,Recirculacion,Pared lateral,En la zona de carga,NA,1,NA,174,92,104,150,80,75,7,6,22,1,24,1,Micro 800,14,Directo,Escalon,Si,No,"SS 316 de 1/4""",Lazo abierto,69.54,67000,No,Centrifugo,1,8.5,Horizontal,No,Si,Si,Antes,No  ,Salida plana,Sin extractor,No,NA,1,NA,Proporcional
600,95.17,Empty,Recirculacion,Pared trasera,En la zona de carga,NA,1,Al frente y atras,208,144,171,144,144,96,51,0,24,1,28,2,Compact Logix,16,Directo,Escalon,Si,Si,"Inconel 3/4"" (tipo Bickley)",Lazo abierto,60.73,90000,No,Centrifugo,2,14,Vertical,No,No,No,Antes,No,Salida plana,Trasera superior,No,Si,1,Atras arriba,Ratio
750,233.67,Empty,Recirculacion,Pared trasera,En la zona de carga,NA,1,Al frente y atras,208,144,171,144,144,96,51,0,24,1,28,2,Compact Logix,16,Directo,Escalon,Si,Si,"Inconel 3/4"" (tipo Bickley)",Lazo abierto,60.73,90000,No,Centrifugo,2,14,Vertical,No,No,No,Antes,No,Salida plana,Trasera superior,No,Si,1,Atras arriba,Ratio
1000,299,Empty,Recirculacion,Pared trasera,En la zona de carga,NA,1,Al frente y atras,208,144,171,144,144,96,51,0,24,1,28,2,Compact Logix,16,Directo,Escalon,Si,Si,"Inconel 3/4"" (tipo Bickley)",Lazo abierto,60.73,90000,No,Centrifugo,2,14,Vertical,No,No,No,Antes,No,Salida plana,Trasera superior,No,Si,1,Atras arriba,Ratio
250,19.67,Empty,Recirculacion,Pared lateral,Por dentro del bafle,NA,1,NA,120,118,106,96,96,72,23,11,11,1,28,1,Compact Logix,16,Directo,Escalon,Si,No,"SS 316 de 1/4""",Lazo abierto,65.35,56768,Si,Centrifugo,1,10,Vertical,Si,Si,Si,Antes,Si,Salida plana,Sin extractor,No,NA,0,Arriba lado positivo,Proporcional
500,97.58,Empty,Recirculacion,Pared lateral,Por dentro del bafle,NA,1,NA,120,118,106,96,96,72,23,11,11,1,28,1,Compact Logix,16,Directo,Escalon,Si,No,"SS 316 de 1/4""",Lazo abierto,65.35,56768,Si,Centrifugo,1,10,Vertical,Si,Si,Si,Antes,Si,Salida plana,Sin extractor,No,NA,0,Arriba lado positivo,Proporcional
360,56,Empty,Recirculacion,"Pared Lateral, parte media de la carga",En la zona de carga,Fibra,2,Al frente y atras,174,112,103,145,96,96,2,8,0,1,28,2,Siemens 1500,16,Directo,Rampa,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo abierto,49.93,29000,Si,Centrifugo,1,11.2,Horizontal,No,No,No,Antes,No,Salida plana,Trasera superior,No,NA,1,Atras arriba,Ratio
